ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Комментарий	Сокращ.	Форма	Позиция	Файл F5	Знечение	
1	1	0	0	30	100	tr		1	1f	Содержание						
//----------------------------------------------------------------------------																
2	1					rm	2	1	2f	Общие сведения о деле						
// --------------------------------------------------------------																
100	2					ed		1		Дело №		Ф5	3	N	знач	
101	2					ed				Год возбуждения		Ф5	3	Г	знач	
102	2					av	гор			Пол		Ф5	9	9		
										муж					1	
										жен					2	
//---------------------------------------------------																
103	1					rm		1	2f	Характеристика потерпевшего						
104	2					av				Ущерб здоровью		Ф5	10	10		
										погиб	погиб				1ХХХХХ	
										тяжкий вред	тяжк. вред				2ХХХХХ	
										вред средней тяжести	вред ср. тяж.				3ХХХХХ	
105	2					av				Возраст потерпевшего		Ф5	10	10		
										0-1 год					Х1ХХХХ	
										1-13 лет					Х2ХХХХ	
										14-15 лет					Х3ХХХХ	
										16-17 лет					Х4ХХХХ	
										18-24 года					Х5ХХХХ	
										25-29 лет					Х6ХХХХ	
										30-49 лет					Х7ХХХХ	
										50-54 года					Х8ХХХХ	
										55-59 лет					Х9ХХХХ	
										60 и старше					Х01ХХХ	
106	2					av				Состояние опьянения						
										алкогольное		Ф5	10	10	ХХХ2ХХ	
										наркотическое		Ф5	10	10	ХХХ3ХХ	
										токсическое		Ф5	10	10	ХХХ4ХХ	
										нет		Ф5	10	10	ХХХ0ХХ	
108	2					av				Дополнительное состояние потерпевшего		Ф5	10	10		
										находящийся в розыске	в розыске				ХХХХХ1	
										без вести пропавший	без вести проп.				ХХХХХ2	
										БОМЖ	БОМЖ				ХХХХХ3	
										лицо, не способное сообщить о себе сведения	не способ.сообщить				ХХХХХ4	
										пассажир	пассажир				ХХХХХ5	
										иное лицо, находящееся на объекте транспорта	иное на транспорте				ХХХХХ6	
										приезжий	приезжий				ХХХХХ7	
										неопознанный труп	неопознанный труп				ХХХХХ8	
//-------------------------------------------------																
123	1					rm		2	1f	Социальное положение потерпевшего						
109	2					av				Социальное положение потерпевшего	Социальное положение потерпевшего	Ф5	12	Соц		
										Без постоянного источника дохода	без пост.источ.дохода				к002	
										Избранное в состав территориального органа общественного самоуправления	избр-е в сост.террит.ОМС				к004	
										Находящееся на социальном обеспечении	соц.обеспечение				к005	
										Занимающееся мелкооптовой торговлей (челночным бизнесом)					к017	
										Наемный рабочий	наемный рабочий				к006	
										Представитель научной или творческой интеллигенции	научн.творческ. Интелл-т				к007	
										Работник культуры и искусства	работ-к культуры				к008	
										Рантье	рантье				к009	
										Служащий	служащий				к010	
										Служитель культа	служитель культа				к011	
										Собственник (владелец предприятия, землевладелец)	собственник				к012	
										Совладелец на паях коллективной собственности	соладелец				к013	
										Студент	студент				к014	
							134			Учащийся	учащийся					
										Обучающийся в государственном общеобразовательном учреждении начального образования	учащ.начальн.обр-я				к018	
										Обучающийся в государственом общеобразовательном учреждении начального проф.образования	учащ.началь.проф.обр-я				к019	
										Обучающийся в государственном общеобразовательном учреждении среднего прф.образования	учащ.средн.проф.обр-я				к020	
										Предприниматель без образования юридического лица	предпр. без обр-я юр.лица				к016	
