ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Название	Шаблон	Текст	Доп1	Доп2	Доп3				
200	1	0	0	30	100	tr		1	1f	Содержание		Содержание							
//----------------------------------------------------------------------------															//----------------------------------------------------------------------------				
238	1					rm	2	1	1f	Специальное донесение									
101	2					rm		1	1v	Сообщение:									
104	3					rm		1	4v										
102	4					cb		1		Район	888888								
										Не установлен									
										Автозаводский									
										Канавинский									
										Ленинский									
										Московский									
										Нижегородский									
										Приокский									
										Советский									
										Сормовский									
										Ардатовский									
										Арзамасский									
										Балахнинский									
										Богородский									
										Большеболдинский									
										Большемурашкинский									
										Борский									
										Бутурлинский									
										Вадский									
										Варнавинский									
										Вачский									
										Ветлужский									
										Вознесенский									
										Володарский									
										Воротынский									
										Воскресенский									
										Выксунский									
										Гагинский									
										Городецкий									
										Дальнеконстантиновский									
										Дивеевский									
										Княгининский									
										Ковернинский									
										Краснобаковский									
										Краснооктябрьский									
										Кстовский									
										Кулебакский									
										Лукояновский									
										Лысковский									
										Навашинский									
										Павловский									
										Первомайский									
										Перевозский									
										Пильнинский									
										Починковский									
										Семёновский									
										Сергачский									
										Сеченовский									
										Сокольский									
										Сосновский									
										Спасский									
										Тонкинский									
										Тоншаевский									
										Уренский									
										Чкаловский									
										Шарангский									
										Шатковский									
										Шахунский									
128	4					ed	d	1		Числа	888888888								
105	4					ed	t	1		в	888								
106	4					ed		1		куда	888888888888888888888888888888888888888888888888888888888888888888888888888888888888								
100	3					rm		1	2v	поступило сообщение:									
107	4					me	3	1		по адресу (месту)	88888888888888888888888888888888888888888888888888888								
115	4					me	3	1		обнаружено 	88888888888888888888888888888888888888888888888888888								
//----------------------------------------------------------------------------																			
240	2					me	4	1		На место выехали:									
// --------------------------------------------------------------------------------																			
241	2					rm		1	1v	Установлено:									
242	3					rm		1	1v	Жертва:									
// --------------------------------																			
243	4					rm		1	3v										
244	5					ed		1		ФИО:	888888888888888888888888	ФИО:	27		221				
245	5					av	гор	1		Пол:		Пол:	28		222				
										муж		мужской							
										жен		женский							
246	5					ed	d	1		Дата рождения		Дата рождения			223				
// --------------------------------																			
129	4					rm		1	2v										
247	5					ed		1		Прим. возраст		Пол:			222				
248	5					ed		1		Одет(а)	888888888888888888888888888888888888888888888888888888888888888888888888888888888888	Дата рождения			223				
// --------------------------------																			
249	4					ed		1		Адрес проживания		Дата рождения			223				
// --------------------------------																			
250	4					ed		1		Нанесенные ранения	888888888888888888888888888888888888888888888888888888888888888	Дата рождения			223				
251	4					ed		1		Оружие		Дата рождения			223				
//--------------------------------------------------------------------------------------------------------------------------															//----------------------------------------------------------------------------				
252	1					rm	3	1	1f	Продолжение					200				
253	2					rm		1	1v										
// --------------------------------------------------------------------------------																			
103	3					rm		1	1v	Возбуждение дела									
125	4					rm		1	2v										
130	5					ed	d	1		Числа	888888888				129				
239	5					ed		1		по факту	888888888888888888888888888888888888888888888888								
122	4					rm		1	4v	возбуждено уголовное дело									
117	5					ed		1		№	88888888		1		104				
123	5					ed		1		по статье	88888								
116	5					ed		1		часть	888	Часть							
121	5					ed		1		пункт   	888	Пункт   							
//----------------------------------------------------------------------------																			
134	3					me	5	1		Проведены следственные действия:		Фабула дела			134				
//----------------------------------------------------------------------------																			
254	3					rm		1	2v	Вести дело назначен:									
255	4					ed		1		Должность	88888888888888888888888888888888888888888				129				
256	4					ed		1		ФИО	888888888888888888888888888888888888888888888								
//----------------------------------------------------------------------------																			
257	2					rm		1	2v	Донесение составил:									
258	3					ed		1		Должность	88888888888888888888888888888888888888888				129				
259	3					ed		1		ФИО	888888888888888888888888888888888888888888888								
// ---------------------------------------------------------------------------------------------------------------------------------------------------------------------																			
201	1					rm	2	1	1f	Дело 		Дело 							
202	2					rm		1	1v										
233	3					ed	fn1	1		Код дела	88888888	Код дела							
1	3					ed		1		Номер дела			117		1				
